time;year;month;day;lat_dni;lon_dni;SDU;DNI;Location_Name
1983-01-01;1983;1;1;9.075;7.475;9.883;296.0;Nigeria_Abuja
1983-01-01;1983;1;1;9.075;7.475;9.883;296.0;Nigeria_Abuja
1983-01-02;1983;1;2;9.075;7.475;9.900001;304.0;Nigeria_Abuja
1983-01-02;1983;1;2;9.075;7.475;9.900001;304.0;Nigeria_Abuja
1983-01-03;1983;1;3;9.075;7.475;9.900001;297.0;Nigeria_Abuja
1983-01-03;1983;1;3;9.075;7.475;9.900001;297.0;Nigeria_Abuja
1983-01-04;1983;1;4;9.075;7.475;9.900001;296.0;Nigeria_Abuja
1983-01-04;1983;1;4;9.075;7.475;9.900001;296.0;Nigeria_Abuja
1983-01-10;1983;1;10;9.075;7.475;9.933001;302.0;Nigeria_Abuja
1983-01-10;1983;1;10;9.075;7.475;9.933001;302.0;Nigeria_Abuja
1983-01-11;1983;1;11;9.075;7.475;9.933001;310.0;Nigeria_Abuja
1983-01-11;1983;1;11;9.075;7.475;9.933001;310.0;Nigeria_Abuja
1983-01-12;1983;1;12;9.075;7.475;9.933001;302.0;Nigeria_Abuja
1983-01-12;1983;1;12;9.075;7.475;9.933001;302.0;Nigeria_Abuja
1983-01-13;1983;1;13;9.075;7.475;9.933001;268.0;Nigeria_Abuja
1983-01-13;1983;1;13;9.075;7.475;9.933001;268.0;Nigeria_Abuja
1983-01-14;1983;1;14;9.075;7.475;8.031;177.0;Nigeria_Abuja
1983-01-14;1983;1;14;9.075;7.475;8.031;177.0;Nigeria_Abuja
1983-01-15;1983;1;15;9.075;7.475;9.860001;239.0;Nigeria_Abuja
1983-01-15;1983;1;15;9.075;7.475;9.860001;239.0;Nigeria_Abuja
1983-01-16;1983;1;16;9.075;7.475;9.967;275.0;Nigeria_Abuja
1983-01-16;1983;1;16;9.075;7.475;9.967;275.0;Nigeria_Abuja
1983-01-17;1983;1;17;9.075;7.475;9.967;290.0;Nigeria_Abuja
1983-01-17;1983;1;17;9.075;7.475;9.967;290.0;Nigeria_Abuja
1983-01-18;1983;1;18;9.075;7.475;9.983001;316.0;Nigeria_Abuja
1983-01-18;1983;1;18;9.075;7.475;9.983001;316.0;Nigeria_Abuja
1983-01-19;1983;1;19;9.075;7.475;9.983001;308.0;Nigeria_Abuja
1983-01-19;1983;1;19;9.075;7.475;9.983001;308.0;Nigeria_Abuja
1983-01-20;1983;1;20;9.075;7.475;10.0;292.0;Nigeria_Abuja
1983-01-20;1983;1;20;9.075;7.475;10.0;292.0;Nigeria_Abuja
1983-01-21;1983;1;21;9.075;7.475;10.0;258.0;Nigeria_Abuja
1983-01-21;1983;1;21;9.075;7.475;10.0;258.0;Nigeria_Abuja
1983-01-22;1983;1;22;9.075;7.475;10.0;290.0;Nigeria_Abuja
1983-01-22;1983;1;22;9.075;7.475;10.0;290.0;Nigeria_Abuja
1983-01-23;1983;1;23;9.075;7.475;10.017;296.0;Nigeria_Abuja
1983-01-23;1983;1;23;9.075;7.475;10.017;296.0;Nigeria_Abuja
1983-01-24;1983;1;24;9.075;7.475;10.033001;303.0;Nigeria_Abuja
1983-01-24;1983;1;24;9.075;7.475;10.033001;303.0;Nigeria_Abuja
1983-01-25;1983;1;25;9.075;7.475;10.033001;295.0;Nigeria_Abuja
1983-01-25;1983;1;25;9.075;7.475;10.033001;295.0;Nigeria_Abuja
1983-01-26;1983;1;26;9.075;7.475;10.033001;251.0;Nigeria_Abuja
1983-01-26;1983;1;26;9.075;7.475;10.033001;251.0;Nigeria_Abuja
1983-01-28;1983;1;28;9.075;7.475;10.067;261.0;Nigeria_Abuja
1983-01-28;1983;1;28;9.075;7.475;10.067;261.0;Nigeria_Abuja
1983-01-29;1983;1;29;9.075;7.475;10.067;254.0;Nigeria_Abuja
1983-01-29;1983;1;29;9.075;7.475;10.067;254.0;Nigeria_Abuja
1983-01-30;1983;1;30;9.075;7.475;10.083;270.0;Nigeria_Abuja
1983-01-30;1983;1;30;9.075;7.475;10.083;270.0;Nigeria_Abuja
