time;year;month;day;lat_dni;lon_dni;SDU;DNI;Location_Name
1983-01-01;1983;1;1;11.925;13.425;9.84;327.0;Nigeria_Borno
1983-01-01;1983;1;1;11.925;13.425;9.84;327.0;Nigeria_Borno
1983-01-02;1983;1;2;11.925;13.425;9.833;306.0;Nigeria_Borno
1983-01-02;1983;1;2;11.925;13.425;9.833;306.0;Nigeria_Borno
1983-01-03;1983;1;3;11.925;13.425;9.833;323.0;Nigeria_Borno
1983-01-03;1983;1;3;11.925;13.425;9.833;323.0;Nigeria_Borno
1983-01-04;1983;1;4;11.925;13.425;9.496;299.0;Nigeria_Borno
1983-01-04;1983;1;4;11.925;13.425;9.496;299.0;Nigeria_Borno
1983-01-10;1983;1;10;11.925;13.425;9.784;334.0;Nigeria_Borno
1983-01-10;1983;1;10;11.925;13.425;9.784;334.0;Nigeria_Borno
1983-01-11;1983;1;11;11.925;13.425;9.8880005;345.0;Nigeria_Borno
1983-01-11;1983;1;11;11.925;13.425;9.8880005;345.0;Nigeria_Borno
1983-01-12;1983;1;12;11.925;13.425;9.853001;332.0;Nigeria_Borno
1983-01-12;1983;1;12;11.925;13.425;9.853001;332.0;Nigeria_Borno
1983-01-13;1983;1;13;11.925;13.425;9.858001;281.0;Nigeria_Borno
1983-01-13;1983;1;13;11.925;13.425;9.858001;281.0;Nigeria_Borno
1983-01-14;1983;1;14;11.925;13.425;8.243;221.0;Nigeria_Borno
1983-01-14;1983;1;14;11.925;13.425;8.243;221.0;Nigeria_Borno
1983-01-15;1983;1;15;11.925;13.425;7.0360003;140.0;Nigeria_Borno
1983-01-15;1983;1;15;11.925;13.425;7.0360003;140.0;Nigeria_Borno
1983-01-16;1983;1;16;11.925;13.425;9.867001;293.0;Nigeria_Borno
1983-01-16;1983;1;16;11.925;13.425;9.867001;293.0;Nigeria_Borno
1983-01-17;1983;1;17;11.925;13.425;10.011001;305.0;Nigeria_Borno
1983-01-17;1983;1;17;11.925;13.425;10.011001;305.0;Nigeria_Borno
1983-01-18;1983;1;18;11.925;13.425;10.055;322.0;Nigeria_Borno
1983-01-18;1983;1;18;11.925;13.425;10.055;322.0;Nigeria_Borno
1983-01-19;1983;1;19;11.925;13.425;9.904;294.0;Nigeria_Borno
1983-01-19;1983;1;19;11.925;13.425;9.904;294.0;Nigeria_Borno
1983-01-20;1983;1;20;11.925;13.425;9.884001;284.0;Nigeria_Borno
1983-01-20;1983;1;20;11.925;13.425;9.884001;284.0;Nigeria_Borno
1983-01-21;1983;1;21;11.925;13.425;9.949;320.0;Nigeria_Borno
1983-01-21;1983;1;21;11.925;13.425;9.949;320.0;Nigeria_Borno
1983-01-22;1983;1;22;11.925;13.425;9.965;275.0;Nigeria_Borno
1983-01-22;1983;1;22;11.925;13.425;9.965;275.0;Nigeria_Borno
1983-01-23;1983;1;23;11.925;13.425;9.939;266.0;Nigeria_Borno
1983-01-23;1983;1;23;11.925;13.425;9.939;266.0;Nigeria_Borno
1983-01-24;1983;1;24;11.925;13.425;9.961;257.0;Nigeria_Borno
1983-01-24;1983;1;24;11.925;13.425;9.961;257.0;Nigeria_Borno
1983-01-25;1983;1;25;11.925;13.425;9.978001;273.0;Nigeria_Borno
1983-01-25;1983;1;25;11.925;13.425;9.978001;273.0;Nigeria_Borno
1983-01-26;1983;1;26;11.925;13.425;9.773001;273.0;Nigeria_Borno
1983-01-26;1983;1;26;11.925;13.425;9.773001;273.0;Nigeria_Borno
1983-01-28;1983;1;28;11.925;13.425;9.994;294.0;Nigeria_Borno
1983-01-28;1983;1;28;11.925;13.425;9.994;294.0;Nigeria_Borno
1983-01-29;1983;1;29;11.925;13.425;10.01;297.0;Nigeria_Borno
1983-01-29;1983;1;29;11.925;13.425;10.01;297.0;Nigeria_Borno
1983-01-30;1983;1;30;11.925;13.425;9.777;286.0;Nigeria_Borno
1983-01-30;1983;1;30;11.925;13.425;9.777;286.0;Nigeria_Borno
1983-01-31;1983;1;31;11.925;13.425;9.981001;313.0;Nigeria_Borno
1983-01-31;1983;1;31;11.925;13.425;9.981001;313.0;Nigeria_Borno
1983-02-01;1983;2;1;11.925;13.425;9.648001;316.0;Nigeria_Borno
1983-02-01;1983;2;1;11.925;13.425;9.648001;316.0;Nigeria_Borno
