cidade,target,MAE,RMSE,R2
Touba,dhi_rsi,77.51522064208984,118.67657680777829,0.5859021548833028
Touba,ghi_pyr,106.79318237304688,177.72562684514577,0.8497688782973746
Touba,ghi_sil,74.9350357055664,116.16762454396448,0.8804933837961854
Fatick,dhi_rsi,68.32891082763672,112.16863089925141,0.6250479357806609
Fatick,ghi_pyr,65.26858520507812,114.51343654103435,0.8847467431747343
Fatick,ghi_sil,77.8739013671875,128.63784556847958,0.8622991015410125
SA Northern Cape,GSR,58.817996978759766,104.26448584159661,0.8869019075591172
CAR Vakaga,GSR,69.52757263183594,131.87431131336763,0.7839379443975096
Egypt Mut,GSR,90.37786102294922,130.6150190564814,0.8616041240690426
Algeria Tamanrasset,GSR,52.942657470703125,105.69004099547412,0.8840106075754047
Nigeria Borno,DSR,21.640823364257812,36.64699604791554,0.890013934798174
