cidade,target,MAE,RMSE,R
Touba,dhi_rsi,154.0720977783203,173.4339808201524,
Touba,ghi_pyr,286.6466979980469,338.2724147229567,
Touba,ghi_sil,187.65664672851562,240.2862631971499,0.4598012775637833
Fatick,dhi_rsi,147.7103271484375,167.44057947896025,
Fatick,ghi_pyr,141.66000366210938,198.0969814573155,0.66433092498111
Fatick,ghi_sil,265.3902587890625,315.2894503468202,
SA Northern Cape,GSR,58.17977523803711,109.3345460901997,0.8803193889080341
CAR Vakaga,GSR,73.0760498046875,135.54304119217997,0.7758757100602082
Egypt Mut,GSR,268.5585632324219,302.9495626337823,
Algeria Tamanrasset,GSR,55.576908111572266,106.52276568590867,0.8816234791421614
Nigeria Borno,DSR,17.337200164794922,36.123452334927094,0.890881477188534
